eid,bid,ans
20130702_135652,17775,10
20130702_135704,6982,10
20130702_135704,79750,20
20130702_135704,387,05
20130702_135704,25308,20
20130702_135704,44436,20
20130702_135704,81271,20
20130702_135704,17628,20
20130702_135652,11632,20
20130702_135652,13440,05
20130702_135704,496,10
20130702_135652,18052,10
20130702_135652,12684,10
20130702_135704,8564,20
20130702_135652,13017,30
20130702_135704,5810,20
20130702_135704,16537,20
20130702_135704,15162,20
20130702_135704,5196,20
20130702_135704,34079,10
20130702_135652,8053,20
20130702_135652,10949,10
20130702_135704,15488,20
20130702_135704,550,10
20130702_135704,6353,10
20130702_135704,14673,20
20130702_135704,5599,20
20130702_135652,10401,10
20130702_135652,12698,10
20130702_135652,16064,20
20130702_135704,46881,20
20130702_135652,17527,20
20130702_135704,43564,10
20130702_135652,13643,10
20130702_135652,18276,10
20130702_135704,26857,20
20130702_135652,13364,05
20130702_135704,22135,20
20130702_135652,18226,20
20130702_135704,6957,10
20130702_135704,2379,10
20130702_135652,8375,30
20130702_135652,16086,20
20130702_135652,2933,10
20130702_135652,1017,20
20130702_135652,3871,20
20130702_135652,17358,20
20130702_135652,11859,20
20130702_135704,16144,20
20130702_135652,15173,30
20130702_135652,15731,20
20130702_135652,1086,20
20130702_135704,44607,20
20130702_135652,401,20
20130702_135652,5513,20
20130702_135704,4715,20
20130702_135704,6969,10
20130702_135652,11901,20
20130702_135704,529,10
20130702_135704,8497,20
20130702_135652,7921,20
20130702_135704,471,10
20130702_135704,8009,20
20130702_135652,5242,20
20130702_135704,40,05
20130702_135704,53552,20
20130702_135652,169,10
20130702_135704,16254,20
20130702_135704,50620,10
20130702_135652,7385,20
20130702_135652,14681,10
20130702_135652,13604,20
20130702_135704,46956,20
20130702_135652,210,10
20130702_135652,10703,20
20130702_135652,14184,10
20130702_135704,51704,20
20130702_135652,4978,20
20130702_135704,477,10
20130702_135704,14146,20
20130702_135704,76579,35
20130702_135652,13050,20
20130702_135704,71357,20
20130702_135652,10507,10
20130702_135652,15527,20
20130702_135704,9335,20
20130702_135652,6081,20
20130702_135652,13476,05
20130702_135652,13125,30
20130702_135704,12669,20
20130702_135704,54388,20
20130702_135704,7039,20
20130702_135652,8794,20
20130702_135652,11865,20
20130702_135704,3086,20
20130702_135704,16757,20
